user_country,location_selected,protocol,date,time_to_connect,download_speed,latency
DE,Germany - Nuremberg,udp,2018-02-06,33,89564,31
FR,France - Paris - 1,udp,2018-02-06,127,4780,
FR,France - Paris - 1,udp,2018-02-06,43,33064,89
GB,UK - London,udp,2018-02-06,10,139506,29
DE,Germany - Nuremberg,udp,2018-02-06,20,80196,46
DE,Germany - Nuremberg,udp,2018-02-06,53,39764,51
GB,UK - London,udp,2018-02-06,26,76128,50
GB,UK - London,udp,2018-02-06,26,44780,106
GB,UK - London,udp,2018-02-06,12,70300,78
DE,Germany - Nuremberg,udp,2018-02-06,18,76058,39
GB,France - Paris - 1,udp,2018-02-06,37,24578,245
DE,Germany - Nuremberg,udp,2018-02-06,120,34658,81
FR,France - Paris - 1,udp,2018-02-06,32,43088,105
GB,Germany - Nuremberg,udp,2018-02-06,29,59410,48
GB,Germany - Nuremberg,l2tp,2018-02-06,28,30726,201
GB,UK - London,udp,2018-02-06,38,35326,151
DE,Germany - Nuremberg,udp,2018-02-06,18,92148,31
GB,UK - London,udp,2018-02-06,20,65710,73
DE,Germany - Nuremberg,udp,2018-02-06,24,74762,38
DE,Germany - Nuremberg,udp,2018-02-06,96,43236,
GB,UK - London,udp,2018-02-06,194,6442,
FR,France - Paris - 1,udp,2018-02-06,548,14478,
FR,France - Paris - 1,udp,2018-02-06,27,57622,70
GB,UK - London,udp,2018-02-06,30,62636,55
DE,Germany - Nuremberg,udp,2018-02-06,16,87518,41
DE,Germany - Nuremberg,udp,2018-02-06,10,108902,32
GB,UK - London,udp,2018-02-06,16,73330,60
GB,UK - London,tcp,2018-02-06,98,25950,125
DE,Germany - Nuremberg,udp,2018-02-06,47,25046,
GB,UK - London,udp,2018-02-06,11,63220,87
DE,Germany - Nuremberg,udp,2018-02-06,17,78876,50
FR,France - Paris - 1,udp,2018-02-06,83,10118,721
FR,France - Paris - 1,udp,2018-02-06,273,7830,
GB,UK - London,udp,2018-02-06,19,96088,39
GB,UK - London,udp,2018-02-06,17,18198,331
FR,France - Paris - 1,udp,2018-02-06,66,11440,507
GB,UK - London,udp,2018-02-06,69,19854,237
GB,Germany - Nuremberg,l2tp,2018-02-06,27,38284,129
DE,Germany - Nuremberg,udp,2018-02-06,10,128636,24
GB,France - Paris - 1,udp,2018-02-06,21,86494,41
FR,France - Paris - 1,udp,2018-02-06,40,50586,81
FR,UK - London,udp,2018-02-06,43,7706,1017
FR,France - Paris - 1,udp,2018-02-06,39,29948,99
DE,Germany - Nuremberg,udp,2018-02-06,18,86726,40
GB,UK - London,udp,2018-02-06,41,24490,204
DE,Germany - Nuremberg,udp,2018-02-06,46,62432,31
DE,Germany - Nuremberg,udp,2018-02-06,34,30618,37
FR,France - Paris - 1,udp,2018-02-06,28,30852,197
DE,Germany - Nuremberg,tcp,2018-02-06,1157,1748,1915
DE,Germany - Nuremberg,udp,2018-02-06,56,7328,
DE,Germany - Nuremberg,udp,2018-02-06,45,22158,65
GB,UK - London,udp,2018-02-06,18,61102,77
DE,Germany - Nuremberg,udp,2018-02-06,21,50290,
DE,Germany - Nuremberg,udp,2018-02-06,37,47560,48
DE,Germany - Nuremberg,udp,2018-02-06,13,116870,30
GB,UK - London,udp,2018-02-06,22,22144,
DE,Germany - Nuremberg,udp,2018-02-06,18,66782,45
GB,UK - London,tcp,2018-02-06,21,49228,68
FR,Germany - Nuremberg,udp,2018-02-06,10,6084,507
GB,UK - London,udp,2018-02-06,24,71068,52
GB,UK - London,udp,2018-02-06,16,61364,93
FR,France - Paris - 1,udp,2018-02-06,12,119392,41
FR,France - Paris - 1,udp,2018-02-06,19,97186,35
DE,Germany - Nuremberg,udp,2018-02-06,119,12584,59
GB,UK - London,udp,2018-02-06,14,35950,166
GB,UK - London,udp,2018-02-06,52,28132,181
FR,France - Paris - 1,udp,2018-02-06,908,12188,47
GB,UK - London,udp,2018-02-06,44,29336,185
FR,France - Paris - 1,udp,2018-02-06,35,22818,279
DE,Germany - Nuremberg,udp,2018-02-06,18,77598,39
GB,UK - London,udp,2018-02-06,144,12134,418
FR,UK - London,udp,2018-02-06,42,37994,95
DE,Germany - Nuremberg,udp,2018-02-06,18,83698,39
GB,UK - London,udp,2018-02-06,42,34280,145
FR,France - Paris - 1,udp,2018-02-06,95,25486,129
FR,France - Paris - 1,udp,2018-02-06,66,33862,124
FR,France - Paris - 1,udp,2018-02-06,178,7122,
GB,UK - London,udp,2018-02-06,46,34436,136
GB,France - Paris - 1,udp,2018-02-06,21,79718,49
FR,France - Paris - 1,udp,2018-02-06,18,107142,32
DE,Germany - Nuremberg,udp,2018-02-06,107,44992,34
DE,Germany - Nuremberg,udp,2018-02-06,17,76058,50
GB,UK - London,udp,2018-02-06,29,38070,141
GB,UK - London,udp,2018-02-06,21,84020,45
DE,Germany - Nuremberg,udp,2018-02-06,11,108902,40
FR,France - Paris - 1,udp,2018-02-06,183,9900,
FR,France - Paris - 1,udp,2018-02-06,183,9282,
FR,France - Paris - 1,udp,2018-02-06,415,9056,
FR,France - Paris - 1,udp,2018-02-06,176,10038,
FR,France - Paris - 1,udp,2018-02-06,183,9498,
FR,France - Paris - 1,udp,2018-02-06,179,9626,
FR,France - Paris - 1,udp,2018-02-06,206,10216,
FR,France - Paris - 1,udp,2018-02-06,223,9282,
FR,France - Paris - 1,udp,2018-02-06,159,10588,
FR,France - Paris - 1,udp,2018-02-06,328,5480,
FR,France - Paris - 1,udp,2018-02-06,893,6150,
FR,France - Paris - 1,udp,2018-02-06,269,4616,
FR,France - Paris - 1,udp,2018-02-06,152,9430,
FR,France - Paris - 1,udp,2018-02-06,165,9976,
FR,France - Paris - 1,udp,2018-02-06,184,9470,
FR,France - Paris - 1,udp,2018-02-06,207,9770,
GB,UK - London,udp,2018-02-06,22,73184,48
DE,Germany - Nuremberg,udp,2018-02-06,17,32104,39
FR,France - Paris - 1,udp,2018-02-06,405,4366,
GB,France - Paris - 1,udp,2018-02-06,36,36072,70
FR,France - Paris - 1,udp,2018-02-06,31,51284,81
FR,France - Paris - 1,udp,2018-02-06,39,31490,167
GB,Germany - Nuremberg,udp,2018-02-06,17,95228,31
FR,France - Paris - 1,udp,2018-02-06,255,10210,
GB,UK - London,udp,2018-02-06,13,56342,115
GB,UK - London,udp,2018-02-06,31,54108,79
GB,UK - London,udp,2018-02-06,15,105242,39
GB,UK - London,udp,2018-02-06,117,9376,317
DE,Germany - Nuremberg,udp,2018-02-06,17,88734,34
DE,Germany - Nuremberg,udp,2018-02-06,139,7650,75
GB,France - Paris - 1,udp,2018-02-06,21,76290,52
DE,Germany - Nuremberg,udp,2018-02-06,38,30136,114
FR,France - Paris - 1,udp,2018-02-06,969,6546,
FR,UK - London,udp,2018-02-06,34,53744,59
DE,Germany - Nuremberg,udp,2018-02-06,23,89148,32
FR,UK - London,udp,2018-02-06,14,15638,53
FR,France - Paris - 1,udp,2018-02-06,2627,770,
FR,France - Paris - 1,udp,2018-02-06,44,31560,96
FR,UK - London,tcp,2018-02-06,30,51522,72
GB,France - Paris - 1,udp,2018-02-06,29,50696,99
DE,Germany - Nuremberg,udp,2018-02-06,17,1336,6598
GB,France - Paris - 1,udp,2018-02-06,38,26966,221
GB,UK - London,udp,2018-02-06,18,62750,82
FR,UK - London,udp,2018-02-06,55,24286,108
DE,Germany - Nuremberg,udp,2018-02-06,18,74002,44
FR,France - Paris - 1,udp,2018-02-06,34,13216,97
FR,France - Paris - 1,tcp,2018-02-06,151,14618,235
FR,France - Paris - 1,udp,2018-02-06,262,6844,
FR,France - Paris - 1,udp,2018-02-06,46,41446,107
GB,UK - London,udp,2018-02-06,1046,3288,402
GB,UK - London,udp,2018-02-06,99,17776,
GB,UK - London,udp,2018-02-06,29,33534,135
GB,UK - London,udp,2018-02-06,93,14320,
GB,UK - London,udp,2018-02-06,15,97300,44
DE,Germany - Nuremberg,udp,2018-02-06,2672,3430,111
GB,UK - London,tcp,2018-02-06,32,39546,84
FR,France - Paris - 1,l2tp,2018-02-06,35,34870,81
DE,Germany - Nuremberg,udp,2018-02-06,62,24208,
GB,UK - London,udp,2018-02-06,84,16856,
GB,UK - London,udp,2018-02-06,21,71168,61
GB,UK - London,udp,2018-02-06,23,65190,68
GB,UK - London,tcp,2018-02-06,141,10590,512
FR,France - Paris - 1,udp,2018-02-06,981,5050,
FR,France - Paris - 1,udp,2018-02-06,96,24996,164
GB,UK - London,tcp,2018-02-06,18,48820,74
GB,UK - London,udp,2018-02-06,19,82792,48
FR,France - Paris - 1,udp,2018-02-06,63,26478,173
GB,UK - London,udp,2018-02-06,46,34556,136
GB,UK - London,udp,2018-02-06,39,15568,450
GB,UK - London,udp,2018-02-06,26,72238,51
GB,UK - London,udp,2018-02-06,103,17528,
GB,UK - London,tcp,2018-02-06,13,23298,286
GB,UK - London,udp,2018-02-06,26,69308,52
FR,France - Paris - 1,udp,2018-02-06,48,28520,181
GB,UK - London,udp,2018-02-06,26,42680,130
GB,UK - London,udp,2018-02-06,78,16580,
FR,UK - London,udp,2018-02-06,52,28338,176
FR,France - Paris - 1,udp,2018-02-06,44,41306,98
GB,UK - London,udp,2018-02-06,82,17764,
GB,UK - London,udp,2018-02-06,24,80544,45
GB,UK - London,udp,2018-02-06,85,16100,
FR,UK - London,udp,2018-02-06,11,16424,38
GB,UK - London,udp,2018-02-06,30,34390,126
FR,France - Paris - 1,udp,2018-02-06,41,29410,71
DE,Germany - Nuremberg,udp,2018-02-06,93,23808,123
FR,UK - London,udp,2018-02-06,21,15382,55
GB,UK - London,tcp,2018-02-06,24,46940,64
FR,UK - London,udp,2018-02-06,16,15502,61
GB,UK - London,udp,2018-02-06,27,46486,105
GB,UK - London,tcp,2018-02-06,34,29618,137
FR,France - Paris - 1,udp,2018-02-06,38,11216,707
DE,Germany - Nuremberg,udp,2018-02-06,20,6240,69
GB,UK - London,udp,2018-02-06,16,91424,49
GB,UK - London,udp,2018-02-06,38,47466,82
GB,UK - London,udp,2018-02-06,36,54730,67
GB,UK - London,udp,2018-02-06,23,73764,46
GB,UK - London,udp,2018-02-06,15,68302,56
FR,France - Paris - 1,udp,2018-02-06,45,45578,80
GB,UK - London,udp,2018-02-06,27,50144,99
GB,UK - London,tcp,2018-02-06,31,8820,613
GB,UK - London,udp,2018-02-06,19,52916,98
GB,France - Paris - 1,udp,2018-02-06,40,49558,74
DE,Germany - Nuremberg,udp,2018-02-06,21,73328,44
GB,UK - London,udp,2018-02-06,17,82970,55
GB,UK - London,tcp,2018-02-06,37,16576,292
DE,Germany - Nuremberg,udp,2018-02-06,117,9316,181
GB,UK - London,udp,2018-02-06,8,147398,27
GB,France - Paris - 1,udp,2018-02-06,47,42958,85
GB,France - Paris - 1,udp,2018-02-06,44,35358,73
FR,France - Paris - 1,udp,2018-02-06,67,23694,192
FR,France - Paris - 1,udp,2018-02-06,48,41502,89
FR,France - Paris - 1,udp,2018-02-06,211,5410,
DE,Germany - Nuremberg,udp,2018-02-06,162,29084,70
FR,UK - London,udp,2018-02-06,19,14538,95
GB,UK - London,udp,2018-02-06,19,83314,49
FR,France - Paris - 1,udp,2018-02-06,38,28794,204
FR,UK - London,tcp,2018-02-06,44,37800,87
FR,France - Paris - 1,udp,2018-02-06,35,50034,90
DE,Germany - Nuremberg,udp,2018-02-06,26,61232,54
FR,France - Paris - 1,udp,2018-02-06,26,36158,45
FR,France - Paris - 1,udp,2018-02-06,50,14880,325
GB,UK - London,udp,2018-02-06,20,51752,104
FR,France - Paris - 1,tcp,2018-02-06,85,33760,107
FR,France - Paris - 1,udp,2018-02-06,34,56098,67
FR,France - Paris - 1,udp,2018-02-06,55,23590,210
GB,UK - London,udp,2018-02-06,108,18768,188
FR,France - Paris - 1,udp,2018-02-06,27,51518,69
GB,UK - London,tcp,2018-02-06,117,15388,
GB,UK - London,udp,2018-02-06,83,16030,
GB,France - Paris - 1,udp,2018-02-06,50,23236,234
DE,Germany - Nuremberg,udp,2018-02-06,55,6566,80
FR,France - Paris - 1,udp,2018-02-06,46,31890,134
FR,France - Paris - 1,udp,2018-02-06,120,30864,87
FR,France - Paris - 1,udp,2018-02-06,55,39356,87
FR,France - Paris - 1,udp,2018-02-06,27,54994,66
DE,Germany - Nuremberg,udp,2018-02-06,28,55974,61
GB,UK - London,udp,2018-02-06,132,15096,229
FR,France - Paris - 1,udp,2018-02-06,44,41396,101
GB,France - Paris - 1,udp,2018-02-06,21,84244,43
GB,UK - London,tcp,2018-02-06,10,9586,536
FR,UK - London,tcp,2018-02-06,159,8730,402
GB,UK - London,udp,2018-02-06,36,31268,168
FR,France - Paris - 1,udp,2018-02-06,332,17132,
FR,France - Paris - 1,udp,2018-02-06,10,166248,24
GB,UK - London,udp,2018-02-06,21,51168,101
GB,UK - London,udp,2018-02-06,19,50552,108
GB,UK - London,tcp,2018-02-06,39,34942,109
FR,UK - London,udp,2018-02-06,51,20272,279
FR,France - Paris - 1,udp,2018-02-06,27,58076,67
FR,UK - London,udp,2018-02-06,12,15740,40
FR,France - Paris - 1,udp,2018-02-06,9917,1594,91
DE,Germany - Nuremberg,udp,2018-02-06,86,4388,87
GB,UK - London,udp,2018-02-06,23,49998,104
DE,Germany - Nuremberg,udp,2018-02-06,74,12466,
FR,UK - London,udp,2018-02-06,19,15334,62
FR,France - Paris - 1,udp,2018-02-06,27,60938,58
GB,Germany - Nuremberg,udp,2018-02-06,20,48770,56
FR,France - Paris - 1,udp,2018-02-06,27,61134,65
FR,France - Paris - 1,udp,2018-02-06,35,40866,101
FR,France - Paris - 1,udp,2018-02-06,23,62716,68
DE,Germany - Nuremberg,udp,2018-02-06,122,33602,
DE,Germany - Nuremberg,udp,2018-02-06,32,49376,63
FR,France - Paris - 1,udp,2018-02-06,125,18046,160
FR,France - Paris - 1,udp,2018-02-06,115,10024,572
FR,France - Paris - 1,udp,2018-02-06,22,64184,67
GB,UK - London,tcp,2018-02-06,258,7090,562
FR,France - Paris - 1,udp,2018-02-06,27,58970,60
GB,UK - London,udp,2018-02-06,19,50314,103
FR,France - Paris - 1,udp,2018-02-06,33,48894,85
FR,UK - London,udp,2018-02-06,19,96052,34
FR,France - Paris - 1,udp,2018-02-06,80,4496,1637
GB,UK - London,udp,2018-02-06,107,15514,235
GB,UK - London,udp,2018-02-06,34,53092,82
GB,UK - London,udp,2018-02-06,116,15794,
DE,Germany - Nuremberg,udp,2018-02-06,952,10530,164
DE,Germany - Nuremberg,udp,2018-02-06,14,103752,27
DE,Germany - Nuremberg,udp,2018-02-06,71,13062,
GB,UK - London,udp,2018-02-06,83,17738,
FR,France - Paris - 1,udp,2018-02-06,50,35040,114
GB,UK - London,udp,2018-02-06,78,16814,
GB,UK - London,tcp,2018-02-06,32,34410,82
GB,UK - London,udp,2018-02-06,67,38826,105
GB,UK - London,udp,2018-02-06,1014,9422,159
GB,France - Paris - 1,udp,2018-02-06,52,17190,
FR,France - Paris - 1,udp,2018-02-06,27,60458,66
DE,Germany - Nuremberg,udp,2018-02-06,1339,5554,105
GB,UK - London,udp,2018-02-06,22,37208,148
FR,France - Paris - 1,udp,2018-02-06,46,40608,99
FR,France - Paris - 1,udp,2018-02-06,23,21904,302
DE,Germany - Nuremberg,udp,2018-02-06,61,10816,87
FR,France - Paris - 1,udp,2018-02-06,26,59986,59
FR,UK - London,udp,2018-02-06,43,29730,165
FR,France - Paris - 1,udp,2018-02-06,73,30278,166
FR,France - Paris - 1,udp,2018-02-06,69,7348,
GB,UK - London,tcp,2018-02-06,9,97010,25
DE,Germany - Nuremberg,udp,2018-02-06,22,77234,35
FR,France - Paris - 1,udp,2018-02-06,27,60938,65
GB,UK - London,udp,2018-02-06,41,41950,97
DE,Germany - Nuremberg,udp,2018-02-06,36,38518,
GB,UK - London,udp,2018-02-06,32,61720,63
FR,UK - London,udp,2018-02-06,33,37158,141
FR,France - Paris - 1,udp,2018-02-06,29,56452,68
FR,France - Paris - 1,udp,2018-02-06,19,95466,31
GB,UK - London,udp,2018-02-06,22,86778,43
GB,UK - London,udp,2018-02-06,41,44108,92
GB,UK - London,udp,2018-02-06,80,17866,
FR,France - Paris - 1,udp,2018-02-06,27,56786,64
FR,France - Paris - 1,udp,2018-02-06,200,12682,
GB,UK - London,udp,2018-02-06,17,108442,33
GB,UK - London,udp,2018-02-06,81,16902,
GB,UK - London,udp,2018-02-06,16,28650,170
FR,France - Paris - 1,udp,2018-02-06,46,41996,97
FR,UK - London,sstp,2018-02-06,55,27224,174
FR,France - Paris - 1,udp,2018-02-06,36,42498,100
GB,UK - London,udp,2018-02-06,39,35458,138
DE,Germany - Nuremberg,udp,2018-02-06,62,8596,
DE,Germany - Nuremberg,udp,2018-02-06,78,14458,
FR,France - Paris - 1,udp,2018-02-06,16,11408,701
DE,Germany - Nuremberg,udp,2018-02-06,24,69260,37
FR,France - Paris - 1,udp,2018-02-06,36,41440,106
DE,Germany - Nuremberg,udp,2018-02-06,28,57400,60
FR,France - Paris - 1,udp,2018-02-06,62,8690,747
FR,France - Paris - 1,udp,2018-02-06,35,18954,
FR,France - Paris - 1,udp,2018-02-06,27,59060,66
FR,UK - London,udp,2018-02-06,48,37130,107
FR,France - Paris - 1,tcp,2018-02-06,46,12028,
FR,UK - London,udp,2018-02-06,27,46818,107
GB,UK - London,udp,2018-02-06,21,61442,76
FR,France - Paris - 1,udp,2018-02-06,33,25606,116
FR,France - Paris - 1,udp,2018-02-06,27,57900,60
GB,UK - London,udp,2018-02-06,20,51156,109
GB,France - Paris - 1,udp,2018-02-06,90,7022,658
GB,UK - London,tcp,2018-02-06,80,14868,234
FR,France - Paris - 1,udp,2018-02-06,19,100990,31
FR,France - Paris - 1,tcp,2018-02-06,30,22976,135
FR,France - Paris - 1,udp,2018-02-06,47,19036,334
GB,UK - London,udp,2018-02-06,38,36666,132
FR,Germany - Nuremberg,udp,2018-02-06,313,4400,946
FR,France - Paris - 1,udp,2018-02-06,28,31084,198
FR,France - Paris - 1,udp,2018-02-06,42,26666,172
DE,Germany - Nuremberg,udp,2018-02-06,80,28432,
DE,Germany - Nuremberg,udp,2018-02-06,448,372,
GB,UK - London,tcp,2018-02-06,75,14356,302
GB,UK - London,udp,2018-02-06,60,8886,
FR,UK - London,udp,2018-02-06,36,33550,138
FR,France - Paris - 1,udp,2018-02-06,10,154570,22
GB,UK - London,udp,2018-02-06,28,33488,138
DE,Germany - Nuremberg,udp,2018-02-06,48,60178,
GB,UK - London,udp,2018-02-06,32,43716,92
GB,UK - London,udp,2018-02-06,29,44690,108
GB,UK - London,udp,2018-02-06,29,68004,50
GB,UK - London,udp,2018-02-06,39,36386,136
FR,France - Paris - 1,udp,2018-02-06,14,101490,45
FR,UK - London,udp,2018-02-06,577,5312,476
GB,UK - London,udp,2018-02-06,14,124892,30
FR,France - Paris - 1,udp,2018-02-06,68,24180,172
DE,Germany - Nuremberg,udp,2018-02-06,30,22128,
FR,France - Paris - 1,udp,2018-02-06,17,14648,506
GB,UK - London,udp,2018-02-06,28,40482,126
FR,France - Paris - 1,udp,2018-02-06,29,54994,65
GB,UK - London,udp,2018-02-06,25,47400,68
FR,France - Paris - 1,udp,2018-02-06,33,46782,79
FR,France - Paris - 1,udp,2018-02-06,29,57040,69
DE,Germany - Nuremberg,udp,2018-02-06,64,16188,
FR,France - Paris - 1,udp,2018-02-06,61,20076,249
GB,UK - London,tcp,2018-02-06,103,14238,312
FR,UK - London,udp,2018-02-06,18,15840,42
GB,UK - London,udp,2018-02-06,26,70014,48
FR,France - Paris - 1,l2tp,2018-02-06,83,17608,183
FR,France - Paris - 1,udp,2018-02-06,29,55794,68
GB,Germany - Nuremberg,udp,2018-02-06,17,76646,52
GB,France - Paris - 1,udp,2018-02-06,21,79590,43
GB,UK - London,udp,2018-02-06,74,28812,135
DE,Germany - Nuremberg,udp,2018-02-06,48,11948,
GB,UK - London,tcp,2018-02-06,216,11222,337
FR,France - Paris - 1,udp,2018-02-06,134,13020,
GB,UK - London,udp,2018-02-06,23,92970,37
FR,France - Paris - 1,udp,2018-02-06,30,52080,63
GB,UK - London,tcp,2018-02-06,24,45984,52
GB,UK - London,udp,2018-02-06,21,46526,77
FR,France - Paris - 1,udp,2018-02-06,14,32778,222
FR,UK - London,udp,2018-02-06,18,96834,41
GB,UK - London,udp,2018-02-06,118,13442,376
FR,France - Paris - 1,udp,2018-02-06,76,25294,
GB,UK - London,udp,2018-02-06,19,102856,35
GB,UK - London,udp,2018-02-06,20,14126,96
FR,France - Paris - 1,udp,2018-02-06,29,25932,252
DE,Germany - Nuremberg,udp,2018-02-06,75,14310,
FR,France - Paris - 1,udp,2018-02-06,60,18794,189
FR,France - Paris - 1,udp,2018-02-06,51,13770,
FR,UK - London,udp,2018-02-06,0,0,0
FR,France - Paris - 1,udp,2018-02-06,41,20180,186
FR,France - Paris - 1,udp,2018-02-06,121,52146,44
GB,UK - London,udp,2018-02-06,29,52994,70
FR,France - Paris - 1,tcp,2018-02-06,33,38892,99
FR,France - Paris - 1,udp,2018-02-06,258,17228,
GB,UK - London,udp,2018-02-06,44,33660,139
GB,UK - London,udp,2018-02-06,11,104872,44
GB,UK - London,udp,2018-02-06,163,15338,
FR,UK - London,udp,2018-02-06,39,19452,329
FR,France - Paris - 1,udp,2018-02-06,25,64522,55
FR,France - Paris - 1,tcp,2018-02-06,25,38278,99
FR,UK - London,udp,2018-02-06,118,27746,113
